	Arem	Chứt (Mày)	Chứt (Rục)	Chứt (Sách)	Hung (Liha)	Hung (Phong)	Hung (Toum)	Maleng	Mương (Hòa Bình)	Mương (Sơn La)	Mương (Thanh Hóa)	Nguồn (Cổ Liêm)	Nguồn (Yên Thọ)	Thavưng	Thổ (Cuối Chăm)	Thổ (Làng Lỡ)	Vietnamese
BURNING_3	ʨaːlˀ													cal¹			cai̯⁴⁵
BURNING_4								kĭɳ³									
CLAW OR NAIL_1					sam	ksam	sam	kasăm³⁴³						ksam¹	sam¹		
CLAW OR NAIL_2		kutoŋ¹	kə̆ntoŋ	katoːŋ¹													
CLAW OR NAIL_3	n̩tɒŋ											mɔŋ³					mɔŋ͡m⁴⁵
CLOUD_1	ʑɯːl	mɤ̆l¹	mə̆l	məl¹	mun	kmil	mʌl	mek³	maə¹	məl¹	mən¹	mə̆n¹		meːk	mʌl¹	mʌn¹	məi̯³³
DIE_1	ʨiːt	kɯcit³	kacit	ciːt⁵²	ceːt	ceːt	ceːt	kacɛt³⁴	ceːt⁵²	ceːt⁵²	ceːt⁵²			cəːt¹	ceːt⁵²	ceːt⁵²	cəːt⁴⁵
DOG_1	aʨɒʔ	ʔacɔ³	acɔ	acɔː³	cɔː	cɔː	cɔː	cɔ̰³⁴³	cɔː³	cɔː³	cɔː³			cɔː¹	cɒː³	cɔː³	cɔː⁴⁵
DOG_2												xwjen⁵					
DRINK_1		ɲo⁴	ɲu	ɲuː⁴	ɲoː⁴⁵	ɲoː⁴⁵	ɲuː⁴⁵	ɳõ³⁴³						ɲuː²	ɲoː⁴	ɲɔː³	
DRINK_2	ɲəu̯ʔ								ʔɔːŋ³	ʔɔːŋ³	ʔɔːŋ³	ʔɔːŋ³					ʔuːŋ⁴⁵
DRY_1	kʰoː	ɽɔh¹	kʰo	kʰo	kʰaw			ɬɔh³				xo¹			kʰɔː¹	kʰoː¹	xoː³³
EAR_1						patsaːj	batsaːj										
EAR_2	tʰaːi̯	ɕai̯¹	saj	saːj¹	saːj			saj³	tʰaːj¹	saːj¹	saːj¹	taj¹	taj¹	saːj¹	saːj¹	saːj¹	taːi̯³³
EARTH (SOIL)_1	atăk							atăk⁴						ʔataːk³			
EARTH (SOIL)_2		ɓɤn³	bən	bɤnʔ													
EARTH (SOIL)_3					tɔt	tit	tʌt		tʌt⁵²	tʌt⁵²	dʌt⁵²	tə̆t⁵²	ʔə̆t⁵²		tʌt⁵²	tʌt⁵²	ɗək⁴⁵
EAT_1	ʔăn	ʔăn¹	ʔăn	ʔan	ʔan	ʔan	ʔan	ʔan³				ăn¹	ăn¹	ʔan¹			ʔăŋ³³
EGG_1															lɨən¹	lɨən¹	
EGG_2		talul³	təlul	tuluːl³				talṵl³⁴³						tulun³			
EGG_3	uluːlˀ				klaəŋ	kləːŋ	klaəŋ		kləŋ³	kləŋ³	kləŋ³	ʈəŋ³	ʔləŋ³				ʈɨŋ⁴⁵
EYE_1	mʌat	mat⁴	mə̯ʌt	mə̆at⁵³	mat	mat	mat	măt³⁴	mat²	mat²	mat²	măt⁵²	măt⁵²	mat¹	mat⁵³	mat⁵³	măk⁴⁵
FAR_1												sa¹					saː³³
FAR_2	ŋaːi̯	ɕiŋai̯³	cə̆ŋaj	təŋaːj³	ŋaːj	ŋaːj	ŋaːj	saŋa̤j³⁴³						sŋaːj²	ŋaːj³	ŋaːj³	
FAT (ORGANIC SUBSTANCE)_1									məː⁵¹	məː⁴⁵	mːəː⁴⁵	mə⁵		atuː¹	məː⁵¹	məː⁵⁵	məː²¹⁴
FAT (ORGANIC SUBSTANCE)_2	tluŋ	klŭŋ¹	kluŋ	tluŋ²													
FAT (ORGANIC SUBSTANCE)_3						puːj											
FEATHER OR FUR OR HAIR_1									loːŋ¹	loːŋ¹	loːŋ¹	loːŋ²ʔ	loːŋ¹		lɔːŋ¹	loːŋ¹	lɔŋ͡m³³
FEATHER OR FUR OR HAIR_2	utʰŭk	ʔuɕŭk³	usuk	suk⁵²				ʔaso̰k³⁴									
FIRE OR FIREWOOD_1	ku	kul̥³	kur	kuːlʰ¹	kuːc	kuːt	kuːc		kuːj⁵	kuːj⁵	kuːj⁵	kun⁵		kuʤʰ²	kuːl⁵¹	ɣuːn⁵⁵	
FIRE OR FIREWOOD_2								kuih³									lɨə²¹⁴
FISH_1	akɛa̯ʔ	ʔaka³	ka	akaː³	kaː	kaː	kaː	aka̰³⁴³	kaː³	kaː³	kaː³	ka³	ka³	kaː¹	kaː³	kaː³	kaː⁴⁵
FLESH OR MEAT_1									ɲuk⁵²	ɲuk⁵²							
FLESH OR MEAT_2	tʰit	ɕit⁴	sit	sit⁵³	siːt			sit⁴				tit⁵³			siːt⁵³	siːt⁵³	tʰɨt²¹²
FLESH OR MEAT_3														mɛːŋ²			
FLY (MOVE THROUGH AIR)_1	păl	pɤ̆l¹	pəl	pəl¹	pɔn	pil	pʌl	pɤ̆l⁴	paə¹	pal¹	ban¹			hul¹	pʌl¹	pʌn¹	ɓai̯³³
FOOT_1												cɔ²	cɔt				
FOOT_2	ʨiŋ	ciŋ²	ciŋ	ciːŋ²				siŋ³	cən¹	cən¹	cən¹			ciːŋ¹	kaŋ⁵		cəŋ³³
FULL_1		ɓlăm¹	blăm	blam	blam	blam	blam					lăm¹					
FULL_2															pleː³	ʈeː³	
FULL_3	paɲ							pĭc³⁴									
FULL_4																	ɗəi̯²¹
GIVE_1	ʨɒː	cɤ¹	cʌə	cɤ	caə		caə	cɤ³				cɔ¹	tɔ¹				cɔː³³
GOOD_1				tʰot								toːt⁵²	tot⁵²				tok⁴⁵
GOOD_2		hăi¹	haj					di³						diː			
GOOD_3	ʔie̯m																
HAIR (HEAD)_1								kɤ̰j³⁴³									tɔk͡p⁴⁵
HAIR (HEAD)_2	utʰŭk	ʔuɕŭk³	usuk	suk⁵²	sok	suk	sok		tʰak⁵²	sak⁵²	sak⁵²	tăk⁵²	tăk⁵²	sɔk¹			
HEAD_1	ulŏk	kulo̤k⁴	kŭluok	kulok⁵³	kloːk	kloːk	kloːk	kalṵk³⁴	kloːk⁵²	kloːk⁵²	ʈoːk⁵²	ʈoːk⁵²	loːk⁵²	ʔɔːk¹	kloːk⁵³	ʐwok⁵³	
HEAD_2																	ɗəu̯²¹
HEAD LOUSE_1	ʨiʔ	ci³	ci	ciː³	cəi	ciː	cei	cḭ⁴³	ciː³	ciː³	ciː³	si³	ci³	kəː²	ciː³	ciː³	cəi̯⁴⁵
HEAR OR LISTEN_1									maŋ¹	maŋ¹	maŋ¹						
HEAR OR LISTEN_2			cămaŋ	cəmaŋ³										hapaŋ²			
HEAR OR LISTEN_3					ŋɛː	ŋɛː	ŋɛː					ŋɛ¹					ŋɛː³³
HEAR OR LISTEN_4		taŋet³															
HEAR OR LISTEN_5	ta³³ma̤ŋ³²tolistenʔ																
HEAR OR LISTEN_6								ŋet³⁴tohearʔ									
HEART_1		toŋ¹	toŋ	toːŋ¹	sɛːm	seːm		tɒ̆ŋ³²⁴				tim¹	ʔim¹	ɲiːm¹	tiːm¹		tim³³
HEART_2	laŋo																
HEAVY_1		năŋ³	naŋ	naŋ³	naŋ	naŋ	naŋ		naŋ⁴	naŋ⁴⁵	naŋ⁴⁵	năŋ⁴			naŋ³	naŋ⁴	naŋ²¹²
HORN (ANATOMY)_1	takaːi̯													tkɔːj¹			
HORN (ANATOMY)_2		ʂɯ̆ŋ²	krɨŋ	ʈəŋ²	kʰlɔŋ	kʰrɨŋ	kʰlʌŋ		kʰɨŋ²	kʰəŋ²	kʰɨŋ²				kʰrɨŋ²	ʂɨŋ²	sɨŋ²¹
HORN (ANATOMY)_3												ʃɨŋ²djaj¹					
I_1	kɯʔ													kan³			
I_2												tɔ¹	ʔuj¹				
I_3		ʔaho¹	ho	ho	saw		saw										taːu̯³³
I_4								ʔeŋ									
KILL_1	kaʨit	cit³	kacit	kəciːt⁵²		pceːt											
KILL_2												jɨet⁵²	zjet⁵²		jjɛt⁵²	jjɛt⁵²	jiːk⁴⁵
KILL_3					ʄjɛth												
KILL_4														pɔh¹			
KNEE_1	lukulˀ			təkuːl³							koːn³						
KNEE_2												ʈok⁵²kon³	lok⁵²kun³				
KNEE_3					kunkuːn		kulkuːl										
KNEE_4		kulo̤k⁴takul³	kŭluoktŭkul					kalŭk³⁴kul³⁴									
KNEE_5														ʔɔːkʔakuːl			
KNEE_6																	ɗəu̯²¹ɡoːi̯⁴⁵
KNOW (SOMETHING)_1								ɬo³⁴³									ɓiːk⁴⁵
KNOW (SOMETHING)_2	hiː	hi¹	hi	hi										huʔ			
LEAF_1	ulɛa̯ʔ	ʔula³	ŭla	laː³	laː	laː	laː	salwa̰³⁴³	laː³	laː³	laː³	la³	la³	slaː⁴	laː³	laː³	laː⁴⁵
LIE (REST)_1		ɲap⁴	nʌp				lam	năm³²⁴				năm²		nam¹			năm²¹
LIE (REST)_2	pi																
LIE (REST)_3				təŋah¹													
LIVER_1												kan¹				ɣaːn¹	ɡaːŋ³³
LIVER_2	luom	lɔ̤m²	ləɔm	loɔm²	lɔːm	lɔːm	lɔːm	lɒm³²⁴	lɔːm²	lɔːm²	lɔːm²			lɔːm¹	lɔːm²		
LONG_1					jaon	joːn	jɔːn	zon³						joːn	jɔːn¹	jwan¹	
LONG_2		ʑa̤l²	ʔjal	ʤal					zaːj²	zaːj²	zaːj²	jaj²	zaj²				jaːi̯²¹
LONG_3	lɤːŋ																
MOON_1				matʈaŋ								măt⁵³ʈăŋ¹	măt⁵³lăŋ¹				
MOON_2					plɔːŋ	plɔːŋ	plɔoŋ		klaŋ¹	plaŋ¹	ʈaŋ¹			paloːŋ¹	plɔŋ²		ʈăŋ³³
MOON_3		pala̤n²	pŭləan					tʰala³²⁴									
MOON_4	n̩ra																
MOUNTAIN_1		kon²						pʰŏn³⁴³	toːə²	toːl²	doːn²						
MOUNTAIN_2	ɗu												ru³			nuːj³	nui̯⁴⁵
MOUNTAIN_3				bluʔ	pʰlow	pʰluː	pʰlow								pʰraw³		
MOUNTAIN_4														ʔaloːŋ⁴			
MOUNTAIN_5			cɨt														
MOUNTAIN_6												lɛn²ta³					
MOUTH_1	kɛa̯ŋˀ	kaŋ³	kaŋ	kaːŋ³													
MOUTH_2								mɜ̆ɳ³⁴	moːm²	moːm²	moːm²	mom²			mɔːm¹		miːŋ²¹²
MOUTH_3														snuːj⁴			
NECK_1		nɔŋ⁴											hɔːŋ⁴				
NECK_2														nəːt³			
NECK_3			tə̆ke	təkiː⁴													
NECK_4	ukin				kaw	koː	kaw		kɛːə¹	kɛːl¹	kɛːn¹	ko⁵					koː²¹⁴
NECK_5								katăŋ³									
NEW_1		ɓɤi̯³	bəj	bɤi̯	baːj	bəːj	baəj		məːj³	məːj³		məj³			bəːj³	bəːj³	məːi̯⁴⁵
NEW_2	mɛa̯h																
NEW_3								tamə³²⁴									
NIGHT_1	lɯmˀ	lɯ̆m⁴	lɨm	lum	tɛːm	teːm	taem					tem¹	ʔem¹		teːm¹	teːm¹	ɗeːm³³
NIGHT_2														ʔamah³			
NOSE_1	mu	mul³	mwʌh	muːlʰ¹	muːc	muːt	muːc	mṵʤʰ³	muːj⁵¹	muːj⁴⁵	muːj⁴⁵	mun⁵	mun²	muʤʰ¹	muːl⁵¹	muːn⁵⁵	mui̯²¹⁴
ONE_1	mui̯c	muc⁴	moi̯c	mʊːc⁵³	moːc	moːt	muːc	moc³⁴	moːt⁵³	moːc⁵³	moːt⁵³	mot⁵³	mot⁵³	muːt¹	moːt⁵³	moːt⁵³	mok²¹²
PATH OR ROAD_1					kʰlaː	klaː	kʰlaː		tʰaː³	kʰaː³	kʰaː³			kʰalaː²			
PATH OR ROAD_2	urɛa̯ʔ																
PATH OR ROAD_3												taŋ²ti¹ʔ	ʔaŋ²di¹				
PATH OR ROAD_4		ta̤ŋ²	tɨaŋ	tɯa̤ŋ													jɨə̯ŋ²¹
PERSON_1		ŋai̯²	ŋaj									ŋaj²	ŋaj²				ŋɨːi̯²¹
PERSON_2				kɔːn¹	kun	kun	kɔn	kʰŏn³						kon			
PERSON_3	ʨʌmrău																
RAIN (PRECIPITATION)_1	mia	kuma̤²	kŭmʌa	kuməa²	maː	kʰmaː	maː		mɨa¹	mɨa¹	mɨa¹	mɨa¹			mɐː²	mɨa¹	mɨə³³
RAIN (PRECIPITATION)_2														maloːj²			
RAIN (PRECIPITATION)_3								sɯŋ⁴									
RED_1	ikaːlˀ				kaon		kɔːl										
RED_2		tɔ⁴	tɔ	tɔː⁵¹				tɔh³	tɔː⁵	tɔː⁵	dɔː⁵	tɔ⁵	ʔɔ⁵	tɔh¹		dɔː⁵⁵	ɗɔː²¹⁴
ROOT_1		lɛl̥³	ljɛ	ljɛlʰ¹				lɛl³⁴							lɛːl⁵¹		
ROOT_2	ri															ʐeː²	ɹeː²¹⁴
ROOT_3									rac²	tʰac²	aɛc²	rɛt⁵³					
ROOT_4														hɛh			
SALT_1	ɓɒːi̯	ɓɔi̯³	bɔj	bɔːj³	bɔːj	bɔːj	bɔːj	bɔ̰j³⁴³	vɔːj³	bɔːj³	vɔːj³	vɔj³	vɔj³	bɔːj¹	bɒːj³	bɔːj³	muːi̯⁴⁵
SAND_1			tə̆kac	təkaːc⁵²					kaːc⁵²	kaːc⁵²		kăc⁵²				ɣaːt⁵²	kaːk⁴⁵
SAND_2	takaːi̯c																
SAND_3		kaɽa̤ŋ²						kʰalɤŋ³									
SAND_4					kʰlɛː	pʰlɛː	kʰlɛː										
SAND_5														tʰɛh²			
SEE_1												tə̆j³					tʰəi̯⁴⁵
SEE_2	ʨɯŋ	cɯ̆ŋ¹	cɨŋ					cɤ̆ŋ³⁴									
SEE_3				ʒua̤m	daːm		daːm										
SEE_4														nah⁴			
SIT_1	ŋoi	ŋo̤i̯²	ŋuj	ŋo̤i			ŋuːj		ŋoːj²	ŋoːj²	ŋoːj²	ŋoj²			ŋoːj²	ŋoːj²	ŋoːi̯²¹
SIT_2														cuŋ²			
SIT_3								sadoh³									
SIT_4													tɔ²hɔ⁵				
SKIN_1									taː¹	taː¹	taː¹	ta¹	ʔa¹				jaː³³
SKIN_2		kuɽot⁴	kărɔt	kəroːt⁵²	kʰlaot	kʰloːt	kʰlaot	kʰalɔ̰t³⁴						kʰaloːt²			
SKIN_3	arwoi̯c																
SLEEP_1					tɔŋ	tɨŋ	tʌŋ										
SLEEP_2												ŋu⁵					ŋu²¹⁴
SLEEP_3													ŋăj³				
SLEEP_4		ɲap⁴	nʌp	nəa̤p				năm³²⁴						nam⁴			
SLEEP_5	pi																
SMALL_1		ɗɛ⁰ɗɛ³	dɛdɛ														
SMALL_2	kʌtkʌ̆t																
SMALL_3												ɲɔ⁵					ɲɔː²¹⁴
SMALL_4					diːt		diːt	dɪt³⁴						ʔiːt			
SMALL_5				dʔuoʔ													
SMOKE (EXHAUST)_1	ahɒːi̯	kuhɔi̯³	kaɔj	kəhɔːj³	kʰɔːj	kʰɔːj	kʰɔːj	kahəj³⁴³	kʰɔːj³	kʰɔːj³	kʰɔːj³	xɔj³		kahɔːj¹	kʰɒːj³	kʰɔːj³	xɔːi̯⁴⁵
STAR_1		kumĭŋ¹	kŭmiɲ	kumiŋ													
STAR_2	tlɔː				baɛ	kbeː	bae		kʰaːw¹	kʰaːw¹	kʰaːw¹	ʃaw¹			kʰraːw¹	ʂaːw¹	saːu̯³³
STAR_3								kalɔ³²⁴									
STAR_4														ʔakɔːl³			
STONE_1									kʰuː⁴	fuː⁴	kʰuː⁴			kih³			
STONE_2		ta⁰ta³	lata														
STONE_3	atɛa̯ʔ			taː³	taː	taː	taː					ta³	ta³		taː³	ðaː³	ɗaː⁴⁵
STONE_4								kɔnkɤl³									
SWIM_1		ʔaʑa¹	aja														
SWIM_2				pɤi̯	pəːj		pəːj	lɔj³⁴									ɓəːi̯³³
SWIM_3	ŋuolˀ																
SWIM_4												tăm³					
TAIL_1	tuoi̯	tɔ̤i̯²	tuoj	twej²	tɔːj	tɔːj	toːj		twoj¹	twoj¹	dwoj¹	tuj¹	ʔwoj¹	toːj¹	tɔːj²	ðwəj²	ɗuəi̯³³
THIS_1		ʔini¹						tani³						ʔaliː¹			
THIS_2			ni	ni	nəi	niː	nei					năj¹			naː³	naː³	nai̯²¹
THIS_3	kɯ̆i̯																
THOU_1												jə̆w¹	zaw¹	tʰəw¹			
THOU_2	mɯi̯	ʔami¹	mi	mi	məi	miː	mei								miː²	məj²	mai̯²¹
THOU_3								căk									
TONGUE_1	lieh	la̤ɽ⁴	ləarl	ləalʰ²	laːc	laːt	laːc	lal³	laːj⁵¹	laːj⁴⁵	laːj⁴⁵			laʤʰ¹	lɐːl⁵¹	laːn⁵⁵	lɨːi̯²¹⁴
TOOTH_1	atʰăŋ	kaɕăŋ¹	kasăŋ	kəsaŋ¹				kasăŋ³		saŋ¹	saŋ¹	tăŋ¹		ksaŋ¹			ɹăŋ³³
TREE_1		kɤ̤i̯²	kəʌj	kəj¹	kɔn	kaw	kʌl	kil³	kaə¹	kəl¹	kən¹	kən¹			kʌl²		kəi̯³³
TREE_2														tʰaŋ²			
TREE_3	ʨirʌŋ																
TWO_1	hɛa̯l	hal¹	hal	haːl¹	haːn	haːl	haːl	hal³⁴	haːə¹	haːl¹	haːn¹	han¹	han¹	haːl¹	haːl¹	haːn¹	haːi̯³³
WALK_1	tiː	ti²	ti	tiː²	təi	tiː	tei		tiː¹	tiː¹	diː¹	ti¹	ʔi¹	tiː¹	tiː²	tiː²	ɗi³³
WALK_2								ʔɤc³⁴									
WARM_1	tiɲ	tĭŋ¹												ptiŋ¹			
WARM_2			tɨl			tʰəːl	tʰəːl										
WARM_3								taʔɯ̆m³⁴³	ʔəm³	ʔəm³		ə̆m¹ə̆m³	ə̆m³		ʔʌm³	ʔʌm³	ʔəm⁴⁵
WARM_4				kəʔam													
WATER_1	ɗɛa̯k	ɗak³	dak	daːk⁵²	daːk	daːk	daːk	dak⁴	raːk⁵²	daːk⁵²	raːk⁵²	djak⁵²	djak⁵²	daːk¹	daːk⁵²	daːk⁵²	nɨːk⁴⁵
WHAT_1				kɛ	ciː		ciː	mʌ				si¹	ci¹				ji²¹
WHAT_2		camɤ³	cămə											ʔahəː³			
WHAT_3	amɯ̆h																
WHITE_1		takal¹	tə̆kal	cakal													
WHITE_2												ʈăŋ³	lăŋ³				ʈăŋ⁴⁵
WHITE_3	tlaːk				plɔːk	plɔːk	plɔk	lɒk³⁴	lɔːk⁵³	lɔːk⁵³				lɔːk³	pɐːk⁵³		
WHO_1		ʔaʔai̯¹	ʔaj	ʔaj	ʔaɛ	ʔeː	ʔae	ʔavɛ³	ʔaːj¹	ʔaːj¹		aj¹	aj¹	noː¹	ʔeː¹	ʔeː¹	ʔaːi̯³³
WHO_2	iɗɯm																
WIND_1	kaʑɒʔ	kuʑɔ³	kăjɔ	kəjɔː³		kăjɔː		ka³zɔ³⁴³						kjuː¹			
WIND_2					jɔː		jɔː		sɔː³	sɔː³	sɔː³	sɔ³			sɒː³	jwa³	jɔː⁴⁵
