Gloss	Bemba	Bulu	Fang	Ganda	Gogo	Haya	Kalanga	Kamba	Kikuyu	Kimbundu	Koongo	Lingala	Lozi	Luba-Katanga	Luba-Lulua	Makhuwa	Meru	Ndonga	Ndzwani Comorian	Ngazidja Comorian	North Ndebele	Nyanja	Nyankole	Rundi	Shona	Songe	Sukuma	Swahili	Tonga	Tsonga	Tswa	Tswana	Umbundu	Venda	Xhosa	Yaka	Zulu
CHILD_1	mwano			mwana	mwaana	omwana	ana	kaana	mwana		mwana	mwana	mwana			mwaana	mwana		mwanamʦa	mwana	umntwana	ana		umwana	mwana	muana	ŋwana	mwana		ŋwana	ŋwanana	ana		mwana	umntwana	ana	umntwana
CHILD_2		mon	mwan																																		
CHILD_3															mwenamunda																						
CHILD_4																							omuto														
CHILD_5																																	omona				
CLOUD_1	ikumbi													diːkumbi																							
CLOUD_2		nkut	ŋkut																																	kutu	
CLOUD_3				kile			ɡole																		ɡore									ɡole			
CLOUD_4					mavunde																						ilunde						elende				
CLOUD_5						ekiʧwi																	ekiʧu														
CLOUD_6								eðwɛɔ																													
CLOUD_7									itu																												
CLOUD_8										dituta	tuti																										
CLOUD_9												lipata																									
CLOUD_10													lilu																								
CLOUD_11															divuba						ilifu					elevu					refu				ifu		ifu
CLOUD_12																nihutte																					
CLOUD_13																	irumbe					tambo															
CLOUD_14																		oʃikoɡo						iɡicu													
CLOUD_15																			viŋɡu	biŋɡu								winɡu									
CLOUD_16																													ikkumbi								
CLOUD_17																														papa							
CLOUD_18																																ru					
COME_1	isa	zu	zu		uza		ʒa			iza	uisa								ʒa	ʤa	za	ʣa		za			iza	ʄa		ta	ta	t͡ɬa		da	za		za
COME_2				jja		ija						ja		ija				ja					ija										ija				
COME_3								oka	oka																	fika											
COME_4													taha																								
COME_5															vwa	wa																					
COME_6																	oriʃo																				
COME_7																									buda												
COME_8																													boola								
COME_9																																				je	
COUNT_1	pend																																				
COUNT_2		lan	laŋ																																		
COUNT_3				bala	vala		bala														bala		bara				bala							βala	bala		bala
COUNT_4								tala	tara								tanla																				
COUNT_5											tanɡa	tanɡa																								tanɡ	
COUNT_6															badika											badika											
COUNT_7																alakela								harura													
COUNT_8																			hasibu																		
COUNT_9																				waza																	
COUNT_10																						welenɡa			ʋerenɡa												
COUNT_11																												hesabu									
COUNT_12																														ɬaja							
COUNT_13																																duedisa					
COUNT_14																																	tenda				
DEW_1	umume					orume																	orume	urume		lume	lume						olume				
DEW_2			efop																																		
DEW_3				musulo																	amazolo													museto	amazolo		amazolo
DEW_4							kʰawa																														
DEW_5								emwɛ	imɛ		dime				dimea																						
DEW_6												mamio								mamo																	
DEW_7																ukame						me															
DEW_8																	laa																				
DEW_9																									doʋa												
DEW_10																												umande									
DEW_11																														mber̥a							
DEW_12																																				aka	
DIE_1	fwa			fwa	fwa		fa			fa	fwa	fa		fwa	fwa		fwa		fa	fa	fa	fa		p͡fa	fa			fa	fwa	fa	fa			fa	fa		fa
DIE_2		wu	wu																														fa				
DIE_3						fa																	fa			fwa											
DIE_4								̈a	a																												
DIE_5													ʃwa														ʧa					swa					
DIE_6																kʰwa																					
DIE_7																		sa																			
DIE_8																																				wa	
DOG_1	imbwa			embwa	mbwa	embwa					mbwa	mbwa		mbwa	mbwa	mwalapwa		ombwa	mbwa	mbwa			embwa	imbwa	imbwa	mbwa		mbwa	mubwa				ombwa	mmbwa			
DOG_2		mvu	mvu							mbua																											
DOG_3							bɡa																														
DOG_4								ŋɡiteːsolo																													
DOG_5									kuro													ɡaru															
DOG_6													nja																								
DOG_7																	ikite																				
DOG_8																					inja														inja		inja
DOG_9																											mva										
DOG_10																														mbjana	mbzana					mboande	
DOG_11																																ɲʧa					
DRINK_1	nwa	nju	ɲu		ŋwa	ɲwa		ɲẅa	ɲua	nua	nwa		nwa		nwa		nwa	nwa	nwa	nwa			ɲwa	ɲwa			ŋwa	ɲwa	ɲwa	nwa	nwa	nwa	njwa	nwa		nu	
DRINK_2				ɲra																																	
DRINK_3												mela																							sela		
DRINK_4														toma												toma											
DRINK_5																wurja																					
DRINK_6																					natʰa																
DRINK_7																						mwa			mwa												
DRINK_8																																					pʰuza
EAR_1	ukutwi			kutu	ikutu	okutwi		koto	ɣoto	kiiadi	kutu			kutwi			kuri	okuʦi				kʰutu	okutu	uɡutwi	itwi	etwi	ɡutu		kutwi				etwɪ				
EAR_2		alo	alɔ																																		
EAR_3												litoi			diʧi																						
EAR_4													zebe								inɮebe									nd͡leve	nd͡leve	ʦɛbɛ		ndeβe	ind͡ɮebe		ind͡ɮʱebe
EAR_5																niɲaru																					
EAR_6																			kio									sikio									
EAR_7																				ʃiʃijo																	
EAR_8																																				loe	
EARTH (SOIL)_1	umusili																																				
EARTH (SOIL)_2		si	si							iʃi														isi		paʃi							posi				
EARTH (SOIL)_3				ttaka		eitaka																	eitaka														
EARTH (SOIL)_4					ilooŋɡo														doŋɡo	doŋɡo							bulonɡo	udonɡo									
EARTH (SOIL)_5							vu																		iv̤u												
EARTH (SOIL)_6								moðaŋɡa																													
EARTH (SOIL)_7									teːri																												
EARTH (SOIL)_8											ntoto											dotʰe															
EARTH (SOIL)_9												nanse																									
EARTH (SOIL)_10													fafasi																								
EARTH (SOIL)_11														loba	buloba						umɬabatʰi														umɬaba		umɬaba
EARTH (SOIL)_12																ittʰaja																					
EARTH (SOIL)_13																	uteri																				
EARTH (SOIL)_14																		pevi																			
EARTH (SOIL)_15																														misava	misava			mavu			
EARTH (SOIL)_16																																				vase	
EAT_1	lja				lja	lʲa		ja								lja	la	lja	la	la	ɮa		rʲa	rʲa				la	lja				lja	la			ɮʱa
EAT_2		di	ʣi								dia											dia														di	
EAT_3							ja							dja	dja										dja	dja				dja					tja		
EAT_4									rea			lia																									
EAT_5										zuela																											
EAT_6													ʧa																								
EAT_7																															ɡa	ʤa					
EGG_1	ilini												lii																								
EGG_2		atji	aki																																		
EGG_3				ɡɡi			ɡai																														
EGG_4					iɡaaŋka																																
EGG_5						eihuli																	eihuri														
EGG_6								etumbe	itumbe																												
EGG_7										ba																								ɡumba			
EGG_8											diaki													iɡi			iɡi										
EGG_9												likɛi																								kɛi	
EGG_10														di																							
EGG_11															diji			eji								eji		jai	iji								
EGG_12																nijoʧe																					
EGG_13																	ijai																				
EGG_14																			ʒwai	ʤwai					zai												
EGG_15																					iǃanda									tanʣa	tanʣa				iǃanda		iǃanda
EGG_16																						ʣira															
EGG_17																																ɪ					
EGG_18																																	esala				
ELEPHANT_1	insofu			enjovu		enjoju									nzevu		ʃofu		ndovu	nd̪ovu	inɮovu	jovu	enjojo	inzovu		nɡefu		ndovu		nd͡lop͡fu					ind͡ɮovu		ind͡ɮʱovu
ELEPHANT_2		zok	zɔʔ																																		
ELEPHANT_3					nteembo											ittʰepo																					
ELEPHANT_4							ʒou						tou												nzou							t͡ɬou		ndou			
ELEPHANT_5								nzɔu	ɲjɔɣu		nzau	nzoku																									
ELEPHANT_6																											m̤uli										
ELEPHANT_7																																	onjamba				
ELEPHANT_8																																				ɔbɔ	
EYE_1	ilinso			luso	liiso	eliiʃo	eʃo	iːðɔ	riːθɔ		disu	liso	liito	diːso	disu		iriso		ʣiʦo	ʣiʦo		diso	eriiʃo	ijiʃo	ziso	eiso	liso	ʄiʧo	lisi			it͡ɬʰɔ	iso	lito		isɔ	
EYE_2		dis	ʣis																																		
EYE_3										meɲa																											
EYE_4																usu																					
EYE_5																		eho																			iso
EYE_6																					iliɬo									tiɬo	tiɬo				iliɬoameɬo		
FACE_1	inso																																				
FACE_2		asu	asu		wusu	obuso	so													uso	ubuso				uso		buʃu	uso							ubuso	boso	ubuso
FACE_3				bweɲi																																	
FACE_4								oðjo	oθio																												
FACE_5													sifateho																			fat͡ɬʰɛχɔ					
FACE_6															mpala											mpala											
FACE_7																ikʰove						kʰope								ŋɡʱoɦe				kʰoɸeni			
FACE_8																	kisanɡu																				
FACE_9																			surwa																		
FACE_10																							ahamaiʃo	amaso													
FALL_1	wu			ɡwa	ɡwa	ɡwa	wa				bwa						wa			wa	wa	ɡwa	ɡwa	ɡwa	ɡwa		ɡwa			wa		wa			wa		wa
FALL_2		ku	ku						ɣua																											ku	
FALL_3								βaloka					lauka																				loka				
FALL_4												eja																									
FALL_5															pona											fona											
FALL_6																wuluwa																					
FALL_7																			dumba																		
FALL_8																												anɡuka									
FALL_9																																		ɸuɸurea			
FEATHER_1	ilisako																									luso											
FEATHER_2		asae																																			
FEATHER_3			endəŋ																																		
FEATHER_4				kjooja																																	
FEATHER_5					maweha																																
FEATHER_6						ebjoja																	ebjoja	ubwoja			boja										
FEATHER_7							siba			kisiba																				risiva							
FEATHER_8								eβwea																													
FEATHER_9									ruɔja																												
FEATHER_10											nsala	lonsala		sala	lusala																					sala	
FEATHER_11													lifufa																			fafa					
FEATHER_12																ntɛnka						ntʰenɡa			mun̤enɡa									mutʰenɡa			
FEATHER_13																	mafuli																				
FEATHER_14																		olwenja										uɲoja									
FEATHER_15																			puzi	uβuzi																	
FEATHER_16																					upʰapʰe														upʰapʰe		upape
FEATHER_17																													ipepe								
FEATHER_18																															limbavi						
FEATHER_19																																	eɲa				
FINGERNAIL_1	iljala													djaːla				olunjala															oluudjala				
FINGERNAIL_2		jae																																			
FINGERNAIL_3			ʣɛɲ																																		
FINGERNAIL_4				lwala				waa	roara															urwara		lwala			lwala					lwala			
FINGERNAIL_5					ŋkombazala																																
FINGERNAIL_6						mpambo																															
FINGERNAIL_7							ɲala						linala												nzara		njala			ŋwala		nala					
FINGERNAIL_8										kiala													ekjara														
FINGERNAIL_9											luzala				luzadi		uʃaa																				
FINGERNAIL_10												linzaka																									
FINGERNAIL_11																ɛkatʰa						kʰadabo															
FINGERNAIL_12																			kofu	fuu																	
FINGERNAIL_13																					uzipʰo														uzipʰo		uzipo
FINGERNAIL_14																												ukuʧa									
FINGERNAIL_15																																				tuku	
FIRE_1	umulilo			mulilo		omulilo							mulilo	mudilo				omulilo			umlilo		omuriro	umuriro					mulilo			lɪlɔ			umlilo		umlilo
FIRE_2		nduan	nduan																																		
FIRE_3					mooto		moto					mɔtɔ				mɔːrɔ	muro		moro	mdro		oto			mwoto		moto	moto						mwoto			
FIRE_4								mwaki	mwaːki																												
FIRE_5										tubia																											
FIRE_6											tija																										
FIRE_7															kapja																						
FIRE_8																										kalo				nʣilo	nʣilu						
FIRE_9																																	ondalu				
FIRE_10																																				muia	
FIREWOOD_1	mukoso																																				
FIREWOOD_2		njaʔa	nʣaʔa																																		
FIREWOOD_3				luku				oko	roko																												
FIREWOOD_4					ŋɡwaaɡu	enkwi											nɡwi							inkwi			ŋ̤wi										
FIREWOOD_5							huni				nkuni	koni				ikʰuni			ŋkuni	uhuni	inkuni	kʰuni			huni			kuni		tʼiɦuɲi				kʰuni	iiŋkʼuni		iziŋkʼuni
FIREWOOD_6																							enku														
FIREWOOD_7																										ntete											
FIREWOOD_8																																χʊŋ					
FIREWOOD_9																																				muia	
FISH_1	isabi												tapi																			t͡ɬʰapi					
FISH_2		kos	kwas																																		
FISH_3				ekjeɲanja																																	
FISH_4					soomba											ihopa						somba															
FISH_5						emfuru																															
FISH_6							hobe																		hoʋe									kʰoβe			
FISH_7								ekojo																													
FISH_8									tɛɣa																												
FISH_9										mbiji	mbisi	mbisi																					ombisi				
FISH_10														ʃipa	muʃipa											muʃipa											
FISH_11																	ikunɡa																				
FISH_12																		ohi									ʃi										
FISH_13																			fi	nfi				ifi						nɬamp͡fi	ɬaβi						
FISH_14																					inɬanzi														intlanzi		inɬanzi
FISH_15																							inswi						nswi								
FISH_16																												samaki									
FISH_17																																				sue	
FIVE_1		tan	tan																																		
FIVE_2				taano		itanu	ʃanu	itaanɔ	iθanɔ		tanu	mitano				tʰanu			ʦanu	ʦanu	ɬanu	isanu	taano	tanu	ʃanu	tanu	itano	tano		nt͡ɬʰanu		t͡ɬʰanʊ	tanu	tʰanu	ɬanu	tano	ɬanu
FIVE_3					hano																																
FIVE_4													ketalizoho																								
FIVE_5															taanunombreʧardinal																						
FIVE_6																	firaanu																				
FLY (MOVE THROUGH AIR)_1	pupuka			buuka			pʰururuka								buuka										bʱururuka												
FLY (MOVE THROUGH AIR)_2		jele	jele																																		
FLY (MOVE THROUGH AIR)_3					luka			oloka		vumuka	tilumuka							tuka				uluka	ɡuruka	ɡuruka					uluka								
FLY (MOVE THROUGH AIR)_4						halala																				palala	lala						pãlãlã				
FLY (MOVE THROUGH AIR)_5									omboka								rumbuka																				
FLY (MOVE THROUGH AIR)_6												pumbwa																								pumb	
FLY (MOVE THROUGH AIR)_7													fufa			vava														haha	haha	fʊfa		ɸuɸa	bʱabʱa		
FLY (MOVE THROUGH AIR)_8																			nʣi	nʣi	ndiza																ndiza
FLY (MOVE THROUGH AIR)_9																												ruka									
FOUR_1		njin	ɲiiɲ				nna												nne																		
FOUR_2				na	ne	inai		iɲa	iɲa				ne							ne	ne	nai	na	ne	na		ine	ne		mune		nɛ		na	ne	ana	kane
FOUR_3											ja																										
FOUR_4												minei					fiini																				
FOUR_5															naajinombreʧardinal																						
FOUR_6																ʧeʃe																					
FOUR_7																										nanka											
FOUR_8																																	kwana				
GIVE_1	peːla				peela																	peleka															
GIVE_2		ve	və	wa															va							fa											
GIVE_3						ha			ha														ha	ha													
GIVE_4							pa					pesa		pa	pa			pa			pʰa	paʦa			pa			pa							pʰa		pʰa
GIVE_5								nɛŋɡanɛ												nika											ɲika						
GIVE_6										bana	ɡana																in̤a										
GIVE_7													fa			vaha														ha		fa		ɸa			
GIVE_8																	niinjia																				
GIVE_9																													ikupa								
GIVE_10																																	ɪha				
GIVE_11																																				ki	
GOAT_1	buʃi			embuzi		embuzi	mbuʣi	mboi	mbori				puli		mbuji				mbuzi	mbuzi	imbuzi	buzi	mbuzi		mbuʣi	mbuji	mbuli	mbuzi		mbutʼi	mbuti	pʊdi		mbuʣi	imbuzi		imbuzi
GOAT_2		kabat	kaban																																		
GOAT_3					mpene																																
GOAT_4											nkombo																						ohombo				
GOAT_5												taba																									
GOAT_6																imbuuzi																					
GOAT_7																	savana																				
GOAT_8																								impere												bɛlɛ	
HAIR (HEAD)_1	umusisi																					siʦi		umuʃaʦi						nsisi	sisi						
HAIR (HEAD)_2		esil	esii																																		
HAIR (HEAD)_3				luvule													ifuli								v̤uʣi									βuliʤi			
HAIR (HEAD)_4					mvwiili								milili																								
HAIR (HEAD)_5						eiʃoke																	eiʃokje														
HAIR (HEAD)_6								osue																												suei	
HAIR (HEAD)_7									ɲjuere																												
HAIR (HEAD)_8										ndemba																											
HAIR (HEAD)_9											lusuki				lusuki																						
HAIR (HEAD)_10												nswei																									
HAIR (HEAD)_11														njwele					ɲele	uɲile	unwele							ɲwele							inwele		ulunwele
HAIR (HEAD)_12																ikʰarari																riri					
HAIR (HEAD)_13																		efufu											isusu								
HAIR (HEAD)_14																										luɲeːne											
HAIR (HEAD)_15																											lujwili										
HAIR (HEAD)_16																																	esinɡa				
HEAD_1	umutwe			mutwe	itwe	omutwe		motwɛ		mutue		motu			mutwe		nrwe	omuʦe					omutwe	umutwe		mutwe	ntwe		mutwe				utwe				
HEAD_2		nlo	nlo																																		
HEAD_3							ʃolo																		musoro												
HEAD_4									keɔŋɡɔ																												
HEAD_5											ntu											tu															
HEAD_6													toho								inɬoko									nɬoko	ɬoko	t͡ɬʰɔχɔ			intloko	soko	inɬoko
HEAD_7																muru																					
HEAD_8																			ʃiʦwa	hiʦwa								kiʧwa									
HEAD_9																																		tʰhoho			
HEAR_1	mfwa													umvwa	mvwa														mvwa								
HEAR_2		wok	woʔ																																		
HEAR_3					hulika	hulila																	hurira														
HEAR_4							hwa		iɣwa		wa		twa								zwa				hwa		iɡwa			twa	zwa	ut͡ɬwa					izwa
HEAR_5								eɣwa																													
HEAR_6										ivua								uva						umva									jeva	p͡fa	va		
HEAR_7												joka																								ka	
HEAR_8																iiwa																					
HEAR_9																	ita																				
HEAR_10																			kia	iʃia								sikia									
HEAR_11																						mvera															
HEAR_12																										puʃa											
HEART_1	umutima			mutima						muʃima		motema						omutima				tima	omutima										utima				
HEART_2		nlem	nnəm													nrima																					
HEART_3					ntumbula																																
HEART_4						omwojo	mojo								moojo										mwojo			mojo	mojo					mwojo			
HEART_5								ŋɡɔɔ	ŋɡɔrɔ								nɡoo										ŋ̤olo										
HEART_6											mbundu			mukuːnka																							
HEART_7													pilu																	mbilu	mbilu	pɪlʊ					
HEART_8														mi					mo																		
HEART_9																				mbumbu																	
HEART_10																					inɬizijo														inhizijo		inɬizijo
HEART_11																								umuʃaha													
HEART_12																										eʃimba											
HEART_13																																				lema	
HORN (ANATOMY)_1	ulusenɡo											liseke		luseːnɡo	luseŋu											lusunɡwa											
HORN (ANATOMY)_2		nlak	nlaʔ																																		
HORN (ANATOMY)_3				ŋŋombi																													ombinɡa				
HORN (ANATOMY)_4					iheembe	eihembe											mbembe						eihembe	ihembe			ipembe	pembe									
HORN (ANATOMY)_5							ɲanɡa						lunaka			ɲɲaka			ɲoŋɡa	ɲoŋɡa		ɲaŋɡa			ɲanɡa							naka		lunʰanɡa			
HORN (ANATOMY)_6								oβja																					luja								
HORN (ANATOMY)_7									rohea																												
HORN (ANATOMY)_8										kimbunɡu																											
HORN (ANATOMY)_9											mpaka																										
HORN (ANATOMY)_10																		ooluniɡa																			
HORN (ANATOMY)_11																					upʰondo									rim̤onʣo	lim̤onʣo				ipʰondo		upʰondo
HORN (ANATOMY)_12																																				seba	
HOUSE_1	anda	nda	nda																													nt͡ɬʊ		nn̪d̪u			
HOUSE_2				nju		enju					nzo												enju										onjo				
HOUSE_3					ɲuumba		ŋumba	ɲomba	ɲomba							inupa	numba			ɲumba		umba			imba		numba	ɲumba									
HOUSE_4												ndako							daɡo																		
HOUSE_5															nzubu											nʃibu											
HOUSE_6																					inɮu			inzu						jind͡lu	jind͡lu				indɮʱu		indɮʱu
HOUSE_7																																				bɔkɔ	
HUNGER_1	insalaã			njala	nzala	enjala	ʒala				nzala	nzala	tala		nzala	itala						jala	enjara	inzara	nzara	nzala	nzala			nd͡lala	nd͡lala	t͡ɬala	onjala	ndʰala	indɮʱala		indɮʱala
HUNGER_2		zae	zɛɲ																																		
HUNGER_3								joa																													
HUNGER_4									hoːta																												
HUNGER_5																	soto																				
HUNGER_6																			nʣaja	nʣaa								ʄaa								nza	
HUNGER_7																					lamba																
INTESTINES_1	ubula						bula								dila										ura	ela	bula					la		lula			
INTESTINES_2			nja					jaa																													
INTESTINES_3				kjenda																																	
INTESTINES_4					matuumbu														ʈimbo	ʈumbo	itʰumbu	utumbo						tumbo							amatʰumbu		amatʰumbu
INTESTINES_5						amala			mara								maala						amara	amara													
INTESTINES_6											lukutu																									kato	
INTESTINES_7												mosɔpɔ																									
INTESTINES_8																nrupo																					
INTESTINES_9																																	onɡeja				
IRON_1	ʃimbi																				insimbi				simbi									ʦʼimbi	inʦimbi		insimbi
IRON_2		etje	ekjɛɲ																																		
IRON_3				kjuma	cuuma	ekjoma		kjoma								ijuuma			ʃuma	ʃuma			ekjoma	ikjuma				ʧuma									
IRON_4									keɣɛra																												
IRON_5											kisenɡu																										
IRON_6												ebende																									
IRON_7															mulonda											bilonda											
IRON_8																						ʦulo															
IRON_9																											jisinza										
IRON_10																														nʱumbu							
IRON_11																																	utali			tale	
KILL_1	ipaja													ipaja	ʃipa			ʤipaɡa															ipaja				
KILL_2		woe																																			
KILL_3			wiɲ																																		
KILL_4				tta		ita																	ita														
KILL_5					wulaɡa			oaa	oraɣa																		bulaɡa										
KILL_6							zwibulaja																		uraja				jaja					βulaja			
KILL_7										bonda	ɡonda									soŋɡa																	
KILL_8												boma										pʰa															
KILL_9													balaja																								
KILL_10																iiva										lwifa											
KILL_11																	nutuja																				
KILL_12																			ua									ua									
KILL_13																					bulala											bʊlaja			bulala		bulala
KILL_14																								ica													
KILL_15																														d͡laja	daja						
KILL_16																																				la	
KNEE_1	ikufi																							ivi													
KNEE_2		abon	abɔŋ																																		
KNEE_3				vvuvi																																	
